study_accession	parent_study_accession	tax_id
PRJNA789338		749906
PRJNA802074		
PRJNA805057		
PRJNA807003		
PRJNA809353		
PRJNA819079		
PRJNA826428		
PRJNA862308		749906
PRJNA868760		
PRJNA876735		433724
PRJNA891885		
PRJNA895828		
PRJNA902959		
PRJNA917059		
PRJNA918869		
PRJNA937446	PRJNA10804	9031
PRJNA944418		
PRJNA981126	PRJNA9558	9606
PRJNA995524		
PRJNA999593		
PRJDB13479		10114
PRJEB19789		
PRJEB19802		
PRJEB32561		
PRJEB40315		
PRJEB40858		
PRJEB40960		
PRJEB45397		
PRJEB51423		
PRJEB51425		
PRJEB56080		
PRJEB59338		
PRJEB6376		
PRJNA273774		408170
PRJNA299698		408170
PRJNA523828		
PRJNA526573		410661
PRJNA576704		
PRJNA590832		
PRJNA611539	PRJNA9558	9606
PRJNA692608		
PRJNA731172		749906
PRJNA884846	PRJNA9559	10090
PRJDB11098		506599
PRJDB2495	PRJNA9558	9606
PRJDB3161		749906
PRJDB5362		410661
PRJDB6804		408170
PRJDB8122		408170
PRJEB1232		433724
PRJEB30580		
PRJEB30829		
PRJEB31629		
PRJEB31643		
PRJEB40187		
PRJEB41443		
PRJEB4203		
PRJEB52963		
PRJEB61722		
PRJEB62030		
PRJEB65297		
PRJNA19725	PRJNA20077	408170
PRJNA210238		749906
PRJNA248080		408170
PRJNA311272		1510822
PRJNA340908		
PRJNA434262		410661
PRJNA512204		
PRJNA515137		749906
PRJNA517050		
PRJNA524979		1510822
PRJNA561247		410661
PRJNA565111		1510822
PRJNA588359		
PRJNA623068		
PRJNA631043		1436733
PRJNA682318		1331678
PRJNA744487		
PRJNA747735		
PRJNA758361		
PRJNA804672		
PRJNA817076		
PRJNA851554		
PRJNA862187	PRJNA9559	10090
PRJNA915408		
PRJNA917190		
PRJNA923577		
PRJNA944673		
PRJNA947188		
PRJNA980714		
PRJNA982880		
PRJNA991283		
PRJNA996786		
PRJEB23775		
PRJEB35155		
PRJEB35901		
PRJEB35983		
PRJEB8368		
PRJEB8945		
PRJNA1001120		
PRJNA268203		410661
PRJNA32811		408170
PRJNA385172		
PRJNA396901		408170
PRJNA449268		
PRJNA662300	PRJNA9559	10090
PRJNA675743		
PRJNA686421		
PRJNA724686		
PRJNA724885		
PRJNA726533		
PRJNA857342		
PRJNA973043		
PRJNA988151		
PRJEB20740		
PRJEB22722		
PRJEB24185		
PRJEB24580		
PRJEB31377		
PRJEB35428		
PRJEB37616		
PRJEB38457		
PRJEB47178		
PRJEB48451		
PRJEB48573		
PRJEB49948		
PRJEB7701		
PRJNA277225		1436733
PRJNA302105		410661
PRJNA304066		1510822
PRJNA306528		
PRJNA381010		749906
PRJNA385704		749906
PRJNA542822	PRJNA10718	9823
PRJNA559181		
PRJNA607004		408170
PRJNA671760		
PRJNA684428		1436733
PRJNA689911		
PRJNA723677		
PRJNA738604		
PRJNA780682		
PRJNA791318		410661
PRJNA842007	PRJNA9559	10090
PRJNA857562		
PRJNA973708		
PRJEB36982		
PRJNA387564		410661
PRJNA449411		1510822
PRJNA608066		408170
PRJNA700501		
PRJNA739635		
PRJNA791454		
PRJNA792991		408170
PRJEB10864		
PRJEB22556		
PRJEB23793		
PRJEB34853		
PRJEB38526		
PRJNA278126		410661
PRJNA385744		1510822
PRJNA388679	PRJNA9559	10090
PRJNA413952		749906
PRJNA490456		408170
PRJEB13159		
PRJEB14669		
PRJEB14696		
PRJEB15191		
PRJEB25135		
PRJEB25140		
PRJEB28512		
PRJEB28754		
PRJEB39111		
PRJNA480729		
PRJNA520777		
PRJNA650195		
PRJNA785752		
PRJNA786526		408170
PRJNA825299		
PRJEB13030		
PRJEB29363		
PRJNA379884		749906
PRJNA549800		
PRJNA668104		
PRJNA705676		
PRJNA967750		1202446
PRJEB11852		
PRJEB11853		
PRJEB13432		
PRJEB16311		
PRJEB25725		
PRJEB29076		
PRJEB29544		
PRJNA231749		1436733
PRJNA246266		408170
PRJNA360177		
PRJNA663847		
PRJNA678005		
PRJNA679353		
PRJNA705672		
PRJNA717332		
PRJNA795318	PRJNA10718	9823
PRJNA822004		1861841
PRJDB11235		408170
PRJEB17632		
PRJEB20766		
PRJEB27618		
PRJEB30607		
PRJEB33396		
PRJEB44459		
PRJNA318692		410661
PRJNA397037		410661
PRJNA401981		408170
PRJNA485316		
PRJNA626062		
PRJNA632893		
PRJNA678737		
PRJNA690658		
PRJNA701076		749906
PRJNA730313		
PRJNA738662		
PRJNA776332		
PRJNA905932	PRJNA10804	9031
PRJEB15238		
PRJEB19474		
PRJEB2079		
PRJEB31073		
PRJEB31328		
PRJEB34058		
PRJEB36358		
PRJEB37293		
PRJEB39629		
PRJEB4164		
PRJEB42259		
PRJEB43913		
PRJEB45719		
PRJEB48351		
PRJEB53890		
PRJEB7982		
PRJNA276700		408170
PRJNA279891		410661
PRJNA290729		408170
PRJNA357148		
PRJNA414451		
PRJNA417868		
PRJNA446061		
PRJNA477600		
PRJNA485217	PRJNA674333	2715852
PRJNA510835		
PRJNA529338		506600
PRJNA534450		
PRJNA590851		
PRJNA622442		
PRJNA662100		
PRJNA714112		749906
PRJNA715170		
PRJNA765503		
PRJNA766410		
PRJNA811352		
PRJNA811422		
PRJNA825499		
PRJNA837984		
PRJNA861720		
PRJDB4366		749906
PRJEB12124		
PRJEB15371		
PRJEB21338		
PRJEB2165		
PRJEB22384		
PRJEB23500		
PRJEB23657		
PRJEB25418		
PRJEB27914		
PRJEB28338		
PRJEB28384		
PRJEB28543		
PRJEB29667		
PRJEB30606		
PRJEB30611		
PRJEB3083		
PRJEB32135		
PRJEB32761		
PRJEB32763		
PRJEB35751		
PRJEB36500		
PRJEB37474		
PRJEB38284		
PRJEB38295		
PRJEB41297		
PRJEB42282		
PRJEB42363		
PRJEB44285		
PRJEB44286		
PRJEB48156		
PRJEB52499		
PRJEB58807		
PRJEB6358		
PRJEB6997		
PRJEB7702		
PRJEB9576		
PRJNA221723		408170
PRJNA238042		408170
PRJNA269514		408170
PRJNA300261		410661
PRJNA310062		
PRJNA318053		408170
PRJNA321230	PRJNA668788	408170
PRJNA396430		1602388
PRJNA396828		1510822
PRJNA407634		1510822
PRJNA414479		
PRJNA419985		1436733
PRJNA449103		
PRJNA489774		506600
PRJNA514452		408170
PRJNA528765		749906
PRJNA529651		
PRJNA540738		
PRJNA589866		408170
PRJNA594378		408170
PRJNA612881		
PRJNA624253		
PRJNA634244		
PRJNA649663		
PRJNA660302	PRJEB40770	410656
PRJNA687563		408170
PRJNA689370		408170
PRJNA716074		
PRJNA745937		
PRJNA753622		408170
PRJNA777429		408170
PRJNA805114		
PRJNA823357		410661
PRJNA834726		
PRJNA853520		
PRJNA874199		
PRJNA886990		
PRJNA904803		
PRJNA914904		1602388
PRJNA963181		
PRJNA980648		
PRJEB15149		
PRJEB22348		
PRJEB25165		
PRJEB25722		
PRJEB27498		
PRJEB27667		
PRJEB29047		
PRJEB32930		
PRJEB35577		
PRJEB38547		
PRJEB41404		
PRJEB4391		
PRJEB44512		
PRJEB51894		
PRJEB6702		
PRJEB8463		
PRJNA266806		1510822
PRJNA284397		408170
PRJNA310058		
PRJNA392215		506600
PRJNA448565		1427740
PRJNA609410		
PRJNA613381		749906
PRJNA625754		
PRJNA647648		
PRJNA665135		
PRJNA673212		
PRJNA675301		
PRJNA685140		408170
PRJNA734104	PRJEB40770	410661
PRJNA749870		
PRJNA761909		
PRJNA781983		410661
PRJNA823359		410661
PRJNA842401		
PRJNA854099		
PRJNA915237		2943808
PRJNA926785		
PRJNA946655		
PRJNA188481		646099
PRJNA28117		408170
PRJNA565209	PRJNA9558	9606
PRJNA96557	PRJNA9559	10090
PRJEB11697		
PRJEB12833		
PRJEB13279		
PRJEB22648		
PRJEB24534		
PRJEB24766		
PRJEB24779		
PRJEB24848		
PRJEB25773		
PRJEB26092		
PRJEB26094		
PRJEB26154		
PRJEB26158		
PRJEB26165		
PRJEB27928		
PRJEB28341		
PRJEB29368		
PRJEB29978		
PRJEB30046		
PRJEB32890		
PRJEB35665		
PRJEB40657		
PRJEB44214		
PRJEB46779		
PRJEB49286		
PRJEB9702		
PRJNA138419		
PRJNA145005		2
PRJNA19723	PRJNA20077	408170
PRJNA19727	PRJNA20077	408170
PRJNA212015		410661
PRJNA236352	PRJNA9559	10090
PRJNA259712		410661
PRJNA281490		
PRJNA286838		408170
PRJNA324436	PRJNA9559	10090
PRJNA339743	PRJNA339737;PRJNA9559	10090
PRJNA356127		410661
PRJNA362609		410661
PRJNA416146	PRJNA160743	1417798
PRJNA422434		749906
PRJNA427715	PRJNA12536	9544
PRJNA436622		
PRJNA474752		
PRJNA483343		408170
PRJNA564818	PRJNA9559	10090
PRJNA565191		
PRJNA575360	PRJNA9558	9606
PRJNA736084	PRJNA12536	9544
PRJNA776636		
PRJNA784544	PRJNA784538;PRJNA9559	10090
PRJNA802841	PRJNA804431;PRJNA9559	10090
PRJNA804433	PRJNA804431;PRJNA9559	10090
PRJNA816046	PRJNA9559	10090
PRJNA899104	PRJNA9558	9606
PRJEB19232		
PRJEB32033		
PRJEB3494	PRJNA34963	329854
PRJEB3579	PRJNA34963	329854
PRJEB3663	PRJNA34963	329854
PRJEB40927		
PRJEB43205		
PRJEB56169		
PRJEB57214		
PRJNA234380		410661
PRJNA300269		
PRJNA312215		
PRJNA314176		1775950
PRJNA316366		410661
PRJNA431242	PRJNA10718	9823
PRJNA432587		
PRJNA432829		749906
PRJNA588587		410661
PRJNA641528		749906
PRJNA734321		410661
PRJNA735921		
PRJNA850895		
PRJNA906115		
PRJDB12843		2034148
PRJDB13682		749906
PRJDB14414		410661
PRJDB14444		408170
PRJDB15194		2303482
PRJDB15967		749906
PRJEB12306		
PRJEB12314		
PRJEB13091		
PRJEB13103		
PRJEB13830		
PRJEB14755		
PRJEB15495		
PRJEB23050		
PRJEB23365		
PRJEB23366		
PRJEB23969		
PRJEB27662		
PRJEB27780		
PRJEB29436		
PRJEB32249		
PRJEB37300		
PRJEB37574		
PRJEB37672		
PRJEB37784		
PRJEB3855	PRJNA37527	166486
PRJEB3869	PRJNA34963	329854
PRJEB40203		
PRJEB40949		
PRJEB42553		
PRJEB42768		
PRJEB43162		
PRJEB45051		
PRJEB46061		
PRJEB46141		
PRJEB55464		
PRJEB57254		
PRJEB6320		256318
PRJEB6328		
PRJNA1001342		
PRJNA1008126		
PRJNA191802	PRJNA9559	10090
PRJNA231889		433724
PRJNA245853		410661
PRJNA258387		408170
PRJNA268649		408170
PRJNA277051		506600
PRJNA30029	PRJNA28331;PRJNA37537	537013
PRJNA376089		1510822
PRJNA376113		1510822
PRJNA386527		
PRJNA388732		408170
PRJNA401977		
PRJNA403944		1510822
PRJNA415306		
PRJNA415898		1904483
PRJNA427838		410661
PRJNA430097		
PRJNA437067		
PRJNA494866		
PRJNA565435		
PRJNA576024		410661
PRJNA576538		1861841
PRJNA604264		410661
PRJNA605191		506599
PRJNA666226		
PRJNA695442		410661
PRJNA700431	PRJNA9559	10090
PRJNA705601		
PRJNA721416		
PRJNA783312		
PRJNA784356		408170
PRJNA797366		
PRJNA798448		
PRJNA824148		
PRJNA836395		408170
PRJNA846199		
PRJNA954163		
PRJNA954203		
PRJNA956880	PRJNA10718	9823
PRJNA984221		
PRJDB10382		408170
PRJDB10554		1510822
PRJDB10646		410661
PRJDB10803		408170
PRJDB12175		410661
PRJDB12420	PRJNA9559	10090
PRJDB12573		749906
PRJDB12833		410661
PRJDB13706		749906
PRJDB13708		749906
PRJDB1460		410661
PRJDB1461		410661
PRJDB1463		410661
PRJDB1825		408170
PRJDB2689		410661
PRJDB4453		408170
PRJDB4592		408170
PRJDB4717		749906
PRJDB5102		410661
PRJDB5499		410661
PRJDB6133		408170
PRJDB6437		410661
PRJDB7625		410661
PRJDB7863		749906
PRJDB7901		410661
PRJDB8061		1436733
PRJDB8267		1602388
PRJDB9002		410661
PRJDB9334		408170
PRJDB9469		408170
PRJDB9484		410661
PRJEB1389		
PRJEB18666		
PRJEB18768		
PRJEB19465		
PRJEB19790		
PRJEB2356		
PRJEB2952		
PRJEB30341		
PRJEB3147		
PRJEB32385		
